"latitude","longitude","sample_date","sample_month","sample_year","daily_value"
32.631231,-117.059075,19,2,2006,6.5
32.631231,-117.059075,9,3,2006,10.8
32.631231,-117.059075,12,3,2006,4
32.631231,-117.059075,24,3,2006,10.7
32.631231,-117.059075,14,4,2006,4.2
32.631231,-117.059075,20,4,2006,10.8
32.631231,-117.059075,1,6,2006,10.3
32.631231,-117.059075,28,6,2006,11.7
32.631231,-117.059075,26,9,2006,15.1
32.631231,-117.059075,17,10,2006,5.5
32.631231,-117.059075,23,10,2006,16
32.631231,-117.059075,26,10,2006,8.6
32.631231,-117.059075,10,11,2006,19.8
32.631231,-117.059075,22,12,2006,20.1
32.631231,-117.059075,14,1,2006,14.7
32.631231,-117.059075,17,1,2006,9.5
32.631231,-117.059075,10,2,2006,22.6
32.631231,-117.059075,6,3,2006,17.5
32.631231,-117.059075,18,3,2006,4.9
32.631231,-117.059075,5,4,2006,4.8
32.631231,-117.059075,11,5,2006,15.2
32.631231,-117.059075,1,7,2006,12.2
32.631231,-117.059075,4,7,2006,12.5
32.631231,-117.059075,3,8,2006,8.2
32.631231,-117.059075,24,8,2006,15.2
32.631231,-117.059075,27,8,2006,11.7
32.631231,-117.059075,30,8,2006,16.8
32.631231,-117.059075,23,9,2006,8
32.631231,-117.059075,2,10,2006,8.7
32.631231,-117.059075,5,10,2006,4.7
32.631231,-117.059075,14,10,2006,5
32.631231,-117.059075,1,11,2006,22.5
32.631231,-117.059075,27,3,2006,8.1
32.631231,-117.059075,8,5,2006,13.8
32.631231,-117.059075,19,6,2006,12.1
32.631231,-117.059075,25,7,2006,15
32.631231,-117.059075,21,8,2006,15
32.631231,-117.059075,2,9,2006,15
32.631231,-117.059075,11,9,2006,14.3
32.631231,-117.059075,29,10,2006,16.1
32.631231,-117.059075,4,12,2006,8.3
32.631231,-117.059075,7,12,2006,15.6
32.631231,-117.059075,25,12,2006,11.6
32.631231,-117.059075,2,1,2006,4.3
32.631231,-117.059075,11,1,2006,16.8
32.631231,-117.059075,2,2,2006,15.4
32.631231,-117.059075,2,4,2006,8.5
32.631231,-117.059075,4,11,2006,24
32.631231,-117.059075,13,11,2006,10.5
32.631231,-117.059075,26,1,2006,11.8
32.631231,-117.059075,7,2,2006,7
32.631231,-117.059075,13,2,2006,11.9
32.631231,-117.059075,22,2,2006,11.5
32.631231,-117.059075,25,2,2006,25
32.631231,-117.059075,28,2,2006,5.7
32.631231,-117.059075,21,3,2006,5.1
32.631231,-117.059075,30,3,2006,6.2
32.631231,-117.059075,29,4,2006,8.7
32.631231,-117.059075,14,5,2006,14
32.631231,-117.059075,26,5,2006,9.1
32.631231,-117.059075,7,6,2006,5.5
32.631231,-117.059075,17,4,2006,4.2
32.631231,-117.059075,2,5,2006,10
32.631231,-117.059075,17,5,2006,17.3
32.631231,-117.059075,16,7,2006,11.5
32.631231,-117.059075,22,7,2006,13.6
32.631231,-117.059075,9,8,2006,11.7
32.631231,-117.059075,15,8,2006,8.7
32.631231,-117.059075,13,12,2006,15.7
32.631231,-117.059075,20,12,2007,6.9
32.631231,-117.059075,3,1,2007,9.2
32.631231,-117.059075,5,2,2007,9
32.631231,-117.059075,14,2,2007,9.3
32.631231,-117.059075,20,2,2007,8.7
32.631231,-117.059075,26,2,2007,7.4
32.631231,-117.059075,16,3,2007,27.6
32.631231,-117.059075,28,3,2007,6
32.631231,-117.059075,14,7,2007,9
32.631231,-117.059075,19,8,2007,12.3
32.631231,-117.059075,25,8,2007,10.9
32.631231,-117.059075,15,9,2007,13.1
32.631231,-117.059075,29,11,2007,10.4
32.631231,-117.059075,5,12,2007,17
32.631231,-117.059075,8,12,2007,5.9
32.631231,-117.059075,14,12,2007,22.9
32.631231,-117.059075,23,12,2007,8.7
32.631231,-117.059075,4,3,2007,5.1
32.631231,-117.059075,7,3,2007,14.5
32.631231,-117.059075,3,4,2007,10.4
32.631231,-117.059075,6,4,2007,11.7
32.631231,-117.059075,30,4,2007,13.9
32.631231,-117.059075,3,5,2007,9
32.631231,-117.059075,12,5,2007,10.6
32.631231,-117.059075,5,6,2007,7.8
32.631231,-117.059075,26,6,2007,14.6
32.631231,-117.059075,8,7,2007,9.7
32.631231,-117.059075,13,8,2007,10.3
32.631231,-117.059075,6,9,2007,9.1
32.631231,-117.059075,12,10,2007,7.2
32.631231,-117.059075,15,10,2007,10.4
32.631231,-117.059075,24,10,2007,77.8
32.631231,-117.059075,5,11,2007,28.1
32.631231,-117.059075,17,2,2007,6.1
32.631231,-117.059075,23,2,2007,4
32.631231,-117.059075,10,3,2007,17.7
32.631231,-117.059075,12,4,2007,9
32.631231,-117.059075,21,4,2007,7.8
32.631231,-117.059075,29,7,2007,10
32.631231,-117.059075,26,7,2007,10.9
32.631231,-117.059075,3,9,2007,14.1
32.631231,-117.059075,12,9,2007,12.1
32.631231,-117.059075,27,9,2007,15.1
32.631231,-117.059075,30,9,2007,12.3
32.631231,-117.059075,11,11,2007,11.2
32.631231,-117.059075,21,1,2007,11.4
32.631231,-117.059075,19,3,2007,5.5
32.631231,-117.059075,3,10,2007,11.2
32.631231,-117.059075,17,11,2007,11.9
32.631231,-117.059075,23,11,2007,12.6
32.631231,-117.059075,26,12,2007,8.2
32.631231,-117.059075,9,1,2007,8.1
32.631231,-117.059075,12,1,2007,7.8
32.631231,-117.059075,15,1,2007,9.5
32.631231,-117.059075,22,3,2007,6.9
32.631231,-117.059075,25,3,2007,9.9
32.631231,-117.059075,9,5,2007,13.1
32.631231,-117.059075,29,6,2007,12.4
32.631231,-117.059075,5,7,2007,12.9
32.631231,-117.059075,11,7,2007,6.6
32.631231,-117.059075,23,7,2007,10.2
32.631231,-117.059075,4,8,2007,11.4
32.631231,-117.059075,16,8,2007,12.1
32.631231,-117.059075,9,9,2007,9.4
32.631231,-117.059075,6,10,2007,9
32.631231,-117.059075,30,1,2007,12
32.631231,-117.059075,1,3,2007,5.7
32.631231,-117.059075,31,3,2007,11
32.631231,-117.059075,15,5,2007,12.5
32.631231,-117.059075,24,5,2007,13.9
32.631231,-117.059075,8,6,2007,10.6
32.631231,-117.059075,11,6,2007,11.7
32.631231,-117.059075,17,6,2007,14.8
32.631231,-117.059075,23,6,2007,14.1
32.631231,-117.059075,17,7,2007,10.6
32.631231,-117.059075,28,8,2007,9.9
32.631231,-117.059075,27,10,2007,28.5
32.631231,-117.059075,2,12,2007,5.5
32.631231,-117.059075,18,1,2007,9.4
32.631231,-117.059075,2,2,2007,11.8
32.631231,-117.059075,13,3,2007,14.7
32.631231,-117.059075,27,5,2007,10.2
32.631231,-117.059075,2,6,2007,10.4
32.631231,-117.059075,1,8,2007,11.5
32.631231,-117.059075,10,8,2007,12.7
32.631231,-117.059075,22,8,2007,14.6
32.631231,-117.059075,20,11,2007,45.7
32.631231,-117.059075,11,12,2007,6.8
32.631231,-117.059075,6,1,2007,12.9
32.631231,-117.059075,27,1,2007,7.8
32.631231,-117.059075,18,4,2007,11
32.631231,-117.059075,24,4,2007,9.2
32.631231,-117.059075,20,7,2007,8.7
32.631231,-117.059075,7,8,2007,7.3
32.631231,-117.059075,31,8,2007,12.1
32.631231,-117.059075,30,10,2007,25.4
32.631231,-117.059075,24,1,2007,10.3
32.631231,-117.059075,11,2,2007,10.1
32.631231,-117.059075,15,4,2007,7.4
32.631231,-117.059075,6,5,2007,5.6
32.631231,-117.059075,9,10,2007,12.6
32.631231,-117.059075,18,10,2007,11.8
32.631231,-117.059075,21,10,2007,32.3
32.631231,-117.059075,2,11,2007,36.1
32.631231,-117.059075,8,11,2007,23.7
32.631231,-117.059075,14,11,2007,10.6
32.631231,-117.059075,26,11,2007,12.6
32.631231,-117.059075,12,4,2008,8.9
32.631231,-117.059075,18,4,2008,14.7
32.631231,-117.059075,3,5,2008,17
32.631231,-117.059075,15,5,2008,14.6
32.631231,-117.059075,26,6,2008,20.5
32.631231,-117.059075,1,8,2008,13.4
32.631231,-117.059075,7,8,2008,10.8
32.631231,-117.059075,12,9,2008,9.8
32.631231,-117.059075,27,9,2008,10.7
32.631231,-117.059075,24,10,2008,13.6
32.631231,-117.059075,2,12,2008,29.5
32.631231,-117.059075,6,2,2008,9.2
32.631231,-117.059075,25,3,2008,22.7
32.631231,-117.059075,27,4,2008,17.2
32.631231,-117.059075,8,6,2008,15.8
32.631231,-117.059075,29,6,2008,17
32.631231,-117.059075,9,9,2008,13.1
32.631231,-117.059075,18,9,2008,17
32.631231,-117.059075,21,10,2008,13.6
32.631231,-117.059075,27,10,2008,32.9
32.631231,-117.059075,11,11,2008,11.5
32.631231,-117.059075,7,1,2008,6.4
32.631231,-117.059075,16,1,2008,9.8
32.631231,-117.059075,19,1,2008,22.3
32.631231,-117.059075,28,1,2008,3.6
32.631231,-117.059075,31,1,2008,8
32.631231,-117.059075,15,4,2008,12.8
32.631231,-117.059075,24,5,2008,6.1
32.631231,-117.059075,2,7,2008,13.9
32.631231,-117.059075,17,7,2008,16.4
32.631231,-117.059075,30,10,2008,14.9
32.631231,-117.059075,2,11,2008,5.6
32.631231,-117.059075,14,11,2008,12.3
32.631231,-117.059075,23,11,2008,25.6
32.631231,-117.059075,11,12,2008,9.4
32.631231,-117.059075,14,12,2008,5.9
32.631231,-117.059075,17,12,2008,2.8
32.631231,-117.059075,26,12,2008,8
32.631231,-117.059075,16,3,2008,6.1
32.631231,-117.059075,6,5,2008,8.2
32.631231,-117.059075,18,5,2008,15
32.631231,-117.059075,2,6,2008,12.2
32.631231,-117.059075,17,6,2008,18.1
32.631231,-117.059075,5,7,2008,15
32.631231,-117.059075,20,7,2008,10.8
32.631231,-117.059075,15,10,2008,9.5
32.631231,-117.059075,17,11,2008,6.8
32.631231,-117.059075,26,11,2008,3.4
32.631231,-117.059075,1,1,2008,7.3
32.631231,-117.059075,21,2,2008,8.5
32.631231,-117.059075,24,2,2008,9.2
32.631231,-117.059075,13,3,2008,21.8
32.631231,-117.059075,22,3,2008,15.3
32.631231,-117.059075,6,4,2008,9.9
32.631231,-117.059075,9,4,2008,9.7
32.631231,-117.059075,11,6,2008,11
32.631231,-117.059075,23,7,2008,11.5
32.631231,-117.059075,19,8,2008,8.5
32.631231,-117.059075,25,8,2008,9.3
32.631231,-117.059075,28,8,2008,4.9
32.631231,-117.059075,3,9,2008,10.4
32.631231,-117.059075,15,9,2008,18.8
32.631231,-117.059075,8,11,2008,8.3
32.631231,-117.059075,8,12,2008,8.9
32.631231,-117.059075,22,1,2008,9
32.631231,-117.059075,3,2,2008,3.6
32.631231,-117.059075,27,2,2008,6.1
32.631231,-117.059075,1,3,2008,10.9
32.631231,-117.059075,31,3,2008,9.7
32.631231,-117.059075,5,6,2008,13.8
32.631231,-117.059075,8,7,2008,14.4
32.631231,-117.059075,14,7,2008,12.9
32.631231,-117.059075,4,8,2008,8.8
32.631231,-117.059075,16,8,2008,8.5
32.631231,-117.059075,21,9,2008,7
32.631231,-117.059075,24,9,2008,19.2
32.631231,-117.059075,30,9,2008,12.8
32.631231,-117.059075,12,10,2008,6.5
32.631231,-117.059075,18,10,2008,19.7
32.631231,-117.059075,5,11,2008,8.6
32.631231,-117.059075,20,11,2008,28.4
32.631231,-117.059075,20,12,2008,15.7
32.631231,-117.059075,13,1,2008,9.9
32.631231,-117.059075,25,1,2008,5.4
32.631231,-117.059075,15,2,2008,7.5
32.631231,-117.059075,18,2,2008,19.7
32.631231,-117.059075,10,3,2008,5.8
32.631231,-117.059075,21,5,2008,12.2
32.631231,-117.059075,27,5,2008,5.4
32.631231,-117.059075,14,6,2008,17.2
32.631231,-117.059075,20,6,2008,11.7
32.631231,-117.059075,11,7,2008,11.9
32.631231,-117.059075,29,7,2008,11.6
32.631231,-117.059075,10,8,2008,9.7
32.631231,-117.059075,13,8,2008,11.8
32.631231,-117.059075,22,8,2008,5.8
32.631231,-117.059075,5,12,2008,10.2
32.631231,-117.059075,10,1,2008,26.5
32.631231,-117.059075,12,2,2008,16.2
32.631231,-117.059075,4,3,2008,7.3
32.631231,-117.059075,7,3,2008,11.1
32.631231,-117.059075,28,3,2008,15.3
32.631231,-117.059075,24,4,2008,11
32.631231,-117.059075,30,4,2008,14.1
32.631231,-117.059075,9,5,2008,11.6
32.631231,-117.059075,12,5,2008,11.2
32.631231,-117.059075,30,5,2008,8
32.631231,-117.059075,23,6,2008,14.1
32.631231,-117.059075,26,7,2008,15.6
32.631231,-117.059075,6,9,2008,13.6
32.631231,-117.059075,3,10,2008,7.5
32.631231,-117.059075,6,10,2008,13.5
32.631231,-117.059075,9,10,2008,15.2
32.631231,-117.059075,29,11,2008,26.3
32.631231,-117.059075,23,12,2008,6.1
32.631231,-117.059075,19,3,2008,22.4
32.631231,-117.059075,3,4,2008,6
32.631231,-117.059075,19,9,2009,16.1
32.631231,-117.059075,25,9,2009,16
32.631231,-117.059075,15,11,2009,10.3
32.631231,-117.059075,20,11,2009,20.8
32.631231,-117.059075,18,12,2009,11.7
32.631231,-117.059075,28,1,2009,8
32.631231,-117.059075,17,3,2009,14.3
32.631231,-117.059075,26,3,2009,16
32.631231,-117.059075,12,7,2009,13.2
32.631231,-117.059075,15,7,2009,14.7
32.631231,-117.059075,11,8,2009,12.9
32.631231,-117.059075,14,8,2009,11.3
32.631231,-117.059075,20,8,2009,15.3
32.631231,-117.059075,4,9,2009,12.8
32.631231,-117.059075,22,10,2009,13.5
32.631231,-117.059075,24,12,2009,13
32.631231,-117.059075,19,1,2009,6.4
32.631231,-117.059075,22,1,2009,13.9
32.631231,-117.059075,3,2,2009,4.9
32.631231,-117.059075,2,3,2009,8.7
32.631231,-117.059075,28,5,2009,12.6
32.631231,-117.059075,6,6,2009,3.3
32.631231,-117.059075,27,6,2009,14.4
32.631231,-117.059075,9,6,2009,6.7
32.631231,-117.059075,3,7,2009,13.2
32.631231,-117.059075,30,7,2009,8.4
32.631231,-117.059075,22,9,2009,13.5
32.631231,-117.059075,21,11,2009,17
32.631231,-117.059075,3,12,2009,22.1
32.631231,-117.059075,12,12,2009,3.2
32.631231,-117.059075,7,1,2009,22.2
32.631231,-117.059075,10,1,2009,8.6
32.631231,-117.059075,16,1,2009,5.4
32.631231,-117.059075,15,2,2009,13.6
32.631231,-117.059075,5,3,2009,4.4
32.631231,-117.059075,29,3,2009,13.1
32.631231,-117.059075,19,5,2009,12
32.631231,-117.059075,25,5,2009,10.2
32.631231,-117.059075,31,5,2009,5.8
32.631231,-117.059075,24,6,2009,11.9
32.631231,-117.059075,26,8,2009,8.2
32.631231,-117.059075,30,11,2009,8
32.631231,-117.059075,6,12,2009,7.5
32.631231,-117.059075,4,1,2009,12
32.631231,-117.059075,8,3,2009,7.7
32.631231,-117.059075,20,3,2009,19.4
32.631231,-117.059075,19,4,2009,10.2
32.631231,-117.059075,1,5,2009,14.7
32.631231,-117.059075,13,5,2009,15.4
32.631231,-117.059075,15,6,2009,3.8
32.631231,-117.059075,23,8,2009,12.1
32.631231,-117.059075,29,8,2009,12.1
32.631231,-117.059075,28,9,2009,14.8
32.631231,-117.059075,25,10,2009,17.3
32.631231,-117.059075,31,10,2009,12.3
32.631231,-117.059075,3,11,2009,14.4
32.631231,-117.059075,12,11,2009,13.1
32.631231,-117.059075,24,11,2009,7
32.631231,-117.059075,9,12,2009,8.3
32.631231,-117.059075,31,12,2009,12.9
32.631231,-117.059075,1,1,2009,43.7
32.631231,-117.059075,6,2,2009,4.7
32.631231,-117.059075,11,3,2009,8.2
32.631231,-117.059075,14,3,2009,13.4
32.631231,-117.059075,7,4,2009,13.8
32.631231,-117.059075,16,4,2009,11.4
32.631231,-117.059075,25,4,2009,8.9
32.631231,-117.059075,22,5,2009,13.6
32.631231,-117.059075,12,6,2009,6.1
32.631231,-117.059075,18,6,2009,12.1
32.631231,-117.059075,2,8,2009,8.2
32.631231,-117.059075,5,8,2009,8.2
32.631231,-117.059075,8,8,2009,10.3
32.631231,-117.059075,4,10,2009,8
32.631231,-117.059075,27,11,2009,9.5
32.631231,-117.059075,21,12,2009,13.3
32.631231,-117.059075,27,12,2009,17
32.631231,-117.059075,24,7,2009,12.2
32.631231,-117.059075,17,8,2009,17.1
32.631231,-117.059075,7,9,2009,10.7
32.631231,-117.059075,10,9,2009,12.6
32.631231,-117.059075,13,9,2009,8.5
32.631231,-117.059075,10,10,2009,9.5
32.631231,-117.059075,19,10,2009,7.6
32.631231,-117.059075,6,11,2009,7.7
32.631231,-117.059075,15,12,2009,8.5
32.631231,-117.059075,25,1,2009,5.4
32.631231,-117.059075,1,4,2009,15.7
32.631231,-117.059075,4,5,2009,7
32.631231,-117.059075,10,5,2009,15.9
32.631231,-117.059075,13,1,2009,5.9
32.631231,-117.059075,31,1,2009,6.5
32.631231,-117.059075,18,2,2009,7.3
32.631231,-117.059075,24,2,2009,9.7
32.631231,-117.059075,23,3,2009,7.3
32.631231,-117.059075,22,4,2009,15.1
32.631231,-117.059075,28,4,2009,13.4
32.631231,-117.059075,3,6,2009,9.5
32.631231,-117.059075,30,6,2009,13.8
32.631231,-117.059075,9,7,2009,12.6
32.631231,-117.059075,18,7,2009,11.1
32.631231,-117.059075,1,9,2009,12.8
32.631231,-117.059075,1,10,2009,7.4
32.631231,-117.059075,7,10,2009,7.8
32.631231,-117.059075,28,10,2009,7.5
32.631231,-117.059075,9,11,2009,25.9
32.631231,-117.059075,9,2,2009,3.6
32.631231,-117.059075,12,2,2009,10.1
32.631231,-117.059075,21,2,2009,11.9
32.631231,-117.059075,4,4,2009,13.1
32.631231,-117.059075,10,4,2009,7.4
32.631231,-117.059075,13,4,2009,11
32.631231,-117.059075,21,6,2009,10.4
32.631231,-117.059075,6,7,2009,9.6
32.631231,-117.059075,21,7,2009,11.9
32.631231,-117.059075,27,7,2009,9.9
